,Const,ConstMatch
0,Croydon Central BC,Croydon Central
1,Dover CC,Dover
2,Hove BC,Hove
3,Hampstead and Kilburn BC,Hampstead and Kilburn
4,"Ruislip, Northwood and Pinner BC","Ruislip, Northwood and Pinner"
5,Newcastle upon Tyne North BC,Newcastle upon Tyne North
6,North Shropshire CC,North Shropshire
7,North East Hertfordshire CC,North East Hertfordshire
8,Milton Keynes South BC,Milton Keynes South
9,Putney BC,Putney
10,Walsall South BC,Walsall South
11,"Birmingham, Ladywood BC","Birmingham, Ladywood"
12,Calder Valley CC,Calder Valley
13,South Suffolk CC,South Suffolk
14,Na h-Eileanan an Iar CC,Na h-Eileanan an Iar
15,North West Cambridgeshire CC,Cambridge
16,Glenrothes CC,Glenrothes
17,North East Somerset CC,North East Somerset
18,"Enfield, Southgate BC","Enfield, Southgate"
19,Lichfield CC,Lichfield
20,Pudsey BC,Pudsey
21,Hexham CC,Hexham
22,Welwyn Hatfield CC,Welwyn Hatfield
23,"Sheffield, Hallam CC","Sheffield, Hallam"
24,Inverclyde CC,Inverclyde
25,Linlithgow and East Falkirk CC,Falkirk
26,Beverley and Holderness CC,Beverley and Holderness
27,Barrow and Furness CC,Barrow and Furness
28,Sedgefield CC,Sedgefield
29,Harrow East BC,Harrow East
30,Bristol South BC,Bristol South
31,Sheffield Central BC,Sheffield Central
32,Ashfield CC,Ashfield
33,Penistone and Stocksbridge CC,Penistone and Stocksbridge
34,Paisley and Renfrewshire South CC,Paisley and Renfrewshire South
35,Holborn and St Pancras BC,Holborn and St Pancras
36,High Peak CC,High Peak
37,Merthyr Tydfil and Rhymney CC,Merthyr Tydfil and Rhymney
38,St Austell and Newquay CC,St Austell and Newquay
39,Upper Bann,Upper Bann
40,East Renfrewshire CC,East Renfrewshire
41,South East Cornwall CC,South East Cornwall
42,Winchester CC,Winchester
43,Harrogate and Knaresborough CC,Harrogate and Knaresborough
44,Harlow CC,Harlow
45,Lewes CC,Lewes
46,Westmorland and Lonsdale CC,Westmorland and Lonsdale
47,Leigh CC,Leigh
48,Darlington BC,Darlington
49,Tatton CC,Tatton
50,Basildon and Billericay BC,Basildon and Billericay
51,Gordon CC,Gordon
52,Grantham and Stamford CC,Grantham and Stamford
53,Fylde CC,Fylde
54,Bolton North East BC,Bolton North East
55,Dudley North BC,Dudley North
56,Wycombe CC,Wycombe
57,Hertford and Stortford CC,Hertford and Stortford
58,Walthamstow BC,Walthamstow
59,Carmarthen East and Dinefwr CC,Carmarthen East and Dinefwr
60,Blackburn BC,Blackburn
61,Stretford and Urmston BC,Stretford and Urmston
62,Aberdeen North BC,Aberdeen North
63,Broxbourne BC,Broxbourne
64,South West Devon CC,South West Devon
65,Maidstone and The Weald CC,Maidstone and The Weald
66,Reading East BC,Reading East
67,Wimbledon BC,Wimbledon
68,North Cornwall CC,North Cornwall
69,Esher and Walton BC,Esher and Walton
70,Boston and Skegness CC,Boston and Skegness
71,York Outer CC,York Outer
72,Stockton South BC,Stockton South
73,Stoke-on-Trent Central BC,Stoke-on-Trent Central
74,Morley and Outwood CC,Morley and Outwood
75,Central Ayrshire CC,Central Ayrshire
76,Middlesbrough BC,Middlesbrough
77,Hemsworth CC,Hemsworth
