,Year,Name,Category,Paid,ConstCode
0,2010,Nigel Mills,Accommodation,8452.0,E14000533
1,2010,Nigel Mills,Constituency Rental,7997.0,E14000533
2,2010,Nigel Mills,General Admin,5243.0,E14000533
3,2010,Nigel Mills,Staffing,3878.0,E14000533
4,2010,Nigel Mills,Travel,4269.0,E14000533
5,2011,Nigel Mills,Accommodation,8871.0,E14000533
6,2011,Nigel Mills,Constituency Rental,2340.0,E14000533
7,2011,Nigel Mills,General Admin,935.0,E14000533
8,2011,Nigel Mills,Office Costs,12015.0,E14000533
9,2011,Nigel Mills,Staffing,3960.0,E14000533
10,2011,Nigel Mills,Travel,4777.0,E14000533
11,2012,Nigel Mills,Accommodation,9457.0,E14000533
12,2012,Nigel Mills,Office Costs,12826.0,E14000533
13,2012,Nigel Mills,Staffing,3960.0,E14000533
14,2012,Nigel Mills,Travel,4939.0,E14000533
15,2013,Nigel Mills,Accommodation,11744.0,E14000533
16,2013,Nigel Mills,Office Costs,15142.0,E14000533
17,2013,Nigel Mills,Staffing,119707.0,E14000533
18,2013,Nigel Mills,Travel,4902.0,E14000533
19,2014,Nigel Mills,Accommodation,11025.0,E14000533
20,2014,Nigel Mills,Office Costs,12483.0,E14000533
21,2014,Nigel Mills,Staffing,110606.0,E14000533
22,2014,Nigel Mills,Travel,4620.0,E14000533
23,2015,Nigel Mills,Accommodation,6024.0,E14000533
24,2015,Nigel Mills,Office Costs,9421.0,E14000533
25,2015,Nigel Mills,Staffing,2977.0,E14000533
26,2015,Nigel Mills,Travel,3511.0,E14000533
27,2010,Gloria De Piero,Accommodation,16037.0,E14000535
28,2010,Gloria De Piero,Constituency Rental,9522.0,E14000535
29,2010,Gloria De Piero,General Admin,7632.0,E14000535
30,2010,Gloria De Piero,Staffing,404.0,E14000535
31,2010,Gloria De Piero,Travel,4552.0,E14000535
32,2011,Gloria De Piero,Accommodation,18121.0,E14000535
33,2011,Gloria De Piero,Constituency Rental,738.0,E14000535
34,2011,Gloria De Piero,General Admin,751.0,E14000535
35,2011,Gloria De Piero,Office Costs,12909.0,E14000535
36,2011,Gloria De Piero,Staffing,107.0,E14000535
37,2011,Gloria De Piero,Travel,4281.0,E14000535
38,2012,Gloria De Piero,Accommodation,19934.0,E14000535
39,2012,Gloria De Piero,Office Costs,13826.0,E14000535
40,2012,Gloria De Piero,Staffing,300.0,E14000535
41,2012,Gloria De Piero,Travel,3421.0,E14000535
42,2013,Gloria De Piero,Accommodation,19656.0,E14000535
43,2013,Gloria De Piero,Miscellaneous Expenses,0.0,E14000535
44,2013,Gloria De Piero,Office Costs,13940.0,E14000535
